ParkID,PlotID,BurnUnit,MaxBurnYear,Season,Lat,Long,ObsYears,TreeID,Species,Status,CrownScorchPercent,MaxCharHt,gro.10,BA_comp,DBH,aVpd.pre.10,trnd.25,ad.25
BAND,FPSME1T08_04,Unit 8,2000,Spring,35.83,-106.4,6,B041822,ABCO,0,4,0.4,1.76,110,23,0,0.02,2
BAND,FPSME1T08_04,Unit 8,2000,Spring,35.83,-106.4,6,B041823,ABCO,0,0,1.6,1.71,131,21.1,0,0.06,0
BAND,FPSME1T08_04,Unit 8,2000,Spring,35.83,-106.4,6,B041842,PSME,0,0,1,1.81,31,43.6,0,0.03,0
BAND,FPSME1T08_04,Unit 8,2000,Spring,35.83,-106.4,6,B049892,ABCO,0,0,0.4,1.74,246,15.4,0,0.04,0
BAND,FPLEX1T02_11,Unit 1,2000,Spring,35.85,-106.4,2,B114839,PIPO,0,0,0.5,1.11,1292,23.3,-0.1,0.01,0
BAND,FPLEX1T02_11,Unit 1,2000,Spring,35.85,-106.4,2,B114854,PIPO,0,0,0.8,0.28,609,32.5,-0.1,-0.07,1
BAND,FPLEX1T02_11,Unit 1,2000,Spring,35.85,-106.4,2,B114855,PIPO,0,0,0.5,0.94,1356,19.7,-0.1,0.01,1
BAND,FPLEX1T02_11,Unit 1,2000,Spring,35.85,-106.4,2,B114860,PIPO,0,2,0.8,1.05,353,40.7,-0.1,-0.02,0
BAND,FPLEX1T02_11,Unit 1,2000,Spring,35.85,-106.4,2,B114872,ABCO,0,15,1,2.6,839,26.4,-0.1,0.02,1
BAND,FPLEX1T02_11,Unit 1,2000,Spring,35.85,-106.4,2,B114880,PIPO,0,40,0.4,0.37,42,83.2,-0.1,-0.01,0
BAND,FPLEX1T02_13,Unit 1,2000,Spring,35.85,-106.42,2,B138803,ABCO,0,90,0.5,5.03,139,20.5,0,0.16,0
BAND,FPLEX1T02_15,Unit 1,2000,Spring,35.86,-106.41,2,B151691,PSME,0,8,0.3,2.73,228,35.8,-0.1,0.04,0
BAND,FPLEX1T02_15,Unit 1,2000,Spring,35.86,-106.41,2,B151720,PIPO,0,60,0.1,0.75,1265,15.2,-0.1,-0.02,1
BAND,FPLEX1T02_15,Unit 1,2000,Spring,35.86,-106.41,2,B151722,PIPO,0,70,0.8,0.39,452,19.7,-0.1,-0.07,2
BAND,FPLEX1T02_15,Unit 1,2000,Spring,35.86,-106.41,2,B151724,PSME,0,1,0.8,2.8,167,45.8,-0.1,-0.02,0
BAND,FPLEX1T02_15,Unit 1,2000,Spring,35.86,-106.41,2,B151735,ABCO,0,100,2.4,4.79,108,46.5,-0.1,0.05,0
BAND,FPLEX1T02_15,Unit 1,2000,Spring,35.86,-106.41,2,B151736,PSME,0,45,1.3,1.76,232,35.5,-0.1,-0.07,1
BAND,FPLEX1T02_15,Unit 1,2000,Spring,35.86,-106.41,2,B151753,PSME,0,5,0.2,0.71,487,15.5,-0.1,-0.03,3
BAND,FPSME1T08_22,Unit 8,2000,Spring,35.84,-106.4,6,B222305,PSME,0,95,4.8,1.56,443,25.7,0,-0.01,0
BAND,FPSME1T08_22,Unit 8,2000,Spring,35.84,-106.4,6,B222309,PSME,0,10,5,2.05,321,27,0,0.05,1
BAND,FPSME1T08_22,Unit 8,2000,Spring,35.84,-106.4,6,B222560,PSME,0,95,6,2.31,376,21.6,0,0.06,0
